0.660,11.434,28.512
0.680,1.191,0.214
0.685,1.061,0.169
0.690,1.130,0.132
0.695,1.155,0.109
0.700,1.155,0.097
0.705,1.227,0.089
0.710,1.267,0.086
0.715,1.268,0.075
0.720,1.192,0.070
0.725,1.232,0.063
0.730,1.229,0.064
0.735,1.207,0.058
0.740,1.307,0.065
0.745,1.144,0.065
0.750,1.074,0.064
0.755,1.150,0.060
0.760,1.132,0.058
0.765,1.070,0.053
0.770,1.207,0.052
0.775,1.158,0.051
0.780,1.253,0.052
0.785,1.187,0.046
0.790,1.146,0.049
0.795,1.174,0.046
0.800,1.193,0.049
0.805,1.179,0.047
0.810,1.214,0.051
0.815,1.108,0.047
0.820,1.143,0.042
0.825,1.151,0.047
0.830,1.113,0.042
0.835,1.073,0.050
0.840,1.129,0.042
0.845,1.147,0.044
0.850,1.114,0.044
0.855,1.112,0.042
0.860,1.122,0.042
0.865,1.133,0.042
0.870,1.125,0.044
0.875,1.143,0.043
0.880,1.113,0.043
0.885,1.096,0.039
0.890,1.098,0.041
0.895,1.064,0.041
0.900,1.090,0.045
0.905,1.109,0.040
0.910,1.081,0.039
0.915,1.087,0.037
0.920,1.086,0.041
0.925,1.048,0.040
0.930,1.019,0.042
0.935,1.031,0.039
0.940,1.074,0.038
0.945,1.090,0.038
0.950,1.100,0.041
0.955,1.125,0.039
0.960,1.106,0.040
0.965,1.096,0.039
0.970,1.107,0.036
0.975,1.130,0.035
0.980,1.107,0.038
0.985,1.093,0.039
0.990,1.178,0.034
0.995,1.195,0.039
1.000,1.107,0.035
1.005,1.129,0.036
1.010,1.189,0.037
1.015,1.127,0.035
1.020,1.163,0.034
1.025,1.212,0.036
1.030,1.180,0.035
1.035,1.162,0.035
1.040,1.161,0.036
1.045,1.219,0.035
1.050,1.175,0.041
1.055,1.141,0.034
1.060,1.156,0.039
1.065,1.141,0.033
1.070,1.146,0.037
1.075,1.087,0.038
1.080,1.139,0.034
1.085,1.165,0.036
1.090,1.142,0.034
1.095,1.146,0.036
1.100,1.076,0.033
1.105,1.081,0.037
1.110,1.117,0.036
1.115,1.105,0.042
1.120,1.070,0.042
1.125,1.065,0.041
1.130,1.116,0.047
1.135,1.047,0.045
1.140,1.028,0.044
1.145,1.145,0.042
1.150,1.205,0.042
1.155,1.163,0.045
1.160,1.131,0.045
1.165,1.129,0.043
1.170,1.112,0.039
1.175,1.104,0.040
1.180,1.106,0.044
1.185,1.083,0.040
1.190,1.065,0.037
1.195,1.070,0.038
1.200,1.151,0.042
1.205,1.161,0.040
1.210,1.090,0.034
1.215,1.000,0.034
1.220,1.009,0.035
1.225,1.115,0.035
1.230,1.142,0.040
1.235,1.140,0.042
1.240,1.162,0.037
1.245,1.165,0.037
1.250,1.156,0.042
1.255,1.105,0.038
1.265,1.003,0.032
1.270,1.086,0.039
1.275,1.085,0.036
1.280,1.099,0.035
1.285,1.044,0.036
1.290,1.122,0.034
1.295,1.178,0.038
1.300,1.136,0.036
1.305,1.202,0.037
1.315,1.161,0.040
1.320,1.079,0.038
1.325,1.137,0.038
1.330,1.093,0.039
1.335,1.082,0.046
1.340,1.090,0.048
1.345,1.055,0.056
1.350,1.029,0.067
1.355,1.003,0.096
1.360,1.014,0.104
1.365,1.195,0.120
1.370,1.021,0.109
1.375,0.964,0.137
1.380,1.085,0.093
1.385,1.175,0.094
1.390,1.147,0.086
1.395,1.212,0.089
1.400,1.164,0.085
1.405,1.041,0.084
1.410,0.980,0.071
1.415,1.256,0.072
1.420,1.111,0.059
1.425,0.999,0.061
1.430,1.050,0.053
1.435,1.088,0.054
1.440,1.173,0.050
1.445,1.190,0.052
1.450,1.312,0.044
1.455,1.307,0.049
1.460,1.175,0.056
1.465,1.075,0.047
1.470,1.114,0.048
1.475,1.144,0.049
1.480,1.170,0.049
1.485,1.099,0.043
1.495,1.178,0.046
1.500,1.185,0.043
1.505,1.138,0.044
