0.780,0.894,0.040
0.785,0.895,0.041
0.790,0.845,0.038
0.795,0.846,0.041
0.800,0.851,0.040
0.805,0.849,0.038
0.810,0.845,0.038
0.815,0.829,0.040
0.820,0.807,0.040
0.825,0.835,0.037
0.830,0.814,0.036
0.835,0.806,0.034
0.840,0.822,0.035
0.845,0.816,0.034
0.850,0.782,0.036
0.855,0.789,0.035
0.860,0.792,0.034
0.865,0.789,0.033
0.870,0.781,0.032
0.875,0.769,0.031
0.880,0.794,0.033
0.885,0.788,0.032
0.890,0.749,0.031
0.895,0.746,0.030
0.900,0.750,0.030
0.905,0.790,0.034
0.910,0.778,0.030
0.915,0.758,0.028
0.920,0.748,0.028
0.925,0.764,0.030
0.930,0.769,0.030
0.935,0.756,0.033
0.940,0.756,0.032
0.945,0.756,0.030
0.950,0.765,0.031
0.955,0.753,0.028
0.960,0.736,0.028
0.965,0.774,0.028
0.970,0.757,0.027
0.975,0.766,0.026
0.980,0.779,0.029
0.985,0.771,0.028
0.990,0.772,0.026
0.995,0.769,0.025
1.000,0.780,0.028
1.005,0.792,0.026
1.010,0.806,0.027
1.015,0.796,0.027
1.020,0.805,0.027
1.025,0.799,0.027
1.030,0.817,0.027
1.035,0.808,0.025
1.040,0.796,0.027
1.045,0.806,0.026
1.050,0.803,0.025
1.055,0.820,0.025
1.060,0.851,0.028
1.065,0.854,0.027
1.070,0.866,0.026
1.075,0.880,0.029
1.080,0.879,0.028
1.085,0.867,0.027
1.090,0.877,0.028
1.095,0.885,0.028
1.100,0.883,0.027
1.105,0.895,0.028
1.110,0.899,0.029
1.115,0.922,0.032
1.120,0.932,0.036
1.125,0.925,0.032
1.130,0.907,0.034
1.135,0.924,0.032
1.140,0.963,0.033
1.145,0.965,0.031
1.150,0.941,0.033
1.160,0.962,0.035
1.165,0.996,0.033
1.170,0.970,0.030
1.175,0.973,0.032
1.180,0.969,0.033
1.185,0.957,0.033
1.190,0.978,0.033
1.195,0.989,0.031
1.200,1.003,0.032
1.205,0.980,0.031
1.210,0.996,0.033
1.215,1.000,0.034
1.220,0.990,0.035
1.225,0.987,0.033
1.230,0.994,0.034
1.235,1.014,0.034
1.250,1.027,0.033
1.255,1.026,0.034
1.260,1.021,0.033
1.265,1.021,0.034
1.270,1.043,0.036
1.275,1.040,0.034
1.280,1.048,0.034
1.285,1.007,0.032
1.290,1.034,0.032
1.295,1.066,0.036
1.300,1.059,0.033
1.305,1.059,0.033
1.310,1.050,0.032
1.315,1.055,0.033
1.320,1.008,0.038
1.325,1.064,0.035
1.330,1.100,0.036
1.335,1.096,0.038
1.340,1.076,0.040
1.345,1.067,0.045
1.355,1.034,0.069
1.360,1.158,0.070
1.365,1.125,0.084
1.370,1.160,0.081
1.375,1.126,0.105
1.380,1.107,0.048
1.385,1.108,0.070
1.390,1.096,0.069
1.395,1.021,0.081
1.405,1.209,0.043
1.410,1.149,0.054
1.415,1.155,0.051
1.420,1.168,0.050
1.425,1.179,0.047
1.430,1.184,0.047
1.435,1.201,0.047
1.440,1.175,0.043
1.445,1.109,0.039
1.450,1.183,0.038
1.455,1.128,0.040
1.460,1.145,0.043
1.465,1.184,0.043
1.470,1.173,0.040
1.475,1.204,0.042
1.480,1.225,0.043
1.485,1.152,0.038
1.490,1.151,0.039
1.495,1.166,0.041
1.500,1.161,0.039
1.505,1.089,0.038
1.510,1.255,0.039
1.515,1.141,0.040
1.520,1.233,0.041
1.525,1.169,0.038
1.530,1.179,0.039
1.535,1.160,0.037
1.540,1.165,0.039
1.545,1.168,0.038
1.550,1.201,0.037
1.555,1.233,0.039
1.560,1.257,0.040
1.565,1.281,0.040
1.570,1.276,0.043
1.575,1.217,0.041
1.580,1.200,0.039
1.585,1.170,0.039
1.590,1.190,0.041
1.595,1.235,0.041
1.600,1.247,0.044
1.605,1.234,0.040
1.610,1.234,0.039
1.615,1.225,0.040
1.620,1.199,0.041
1.625,1.154,0.039
1.630,1.138,0.038
1.635,1.161,0.038
1.640,1.166,0.040
1.645,1.173,0.042
1.650,1.160,0.041
