0.760,0.805,0.118
0.765,0.807,0.104
0.770,0.866,0.105
0.775,0.750,0.103
0.780,0.823,0.093
0.785,0.780,0.099
0.790,0.776,0.091
0.795,0.848,0.091
0.800,0.813,0.094
0.805,0.846,0.095
0.810,0.845,0.096
0.815,0.772,0.087
0.825,0.715,0.082
0.830,0.757,0.085
0.835,0.716,0.084
0.840,0.711,0.085
0.845,0.729,0.083
0.850,0.755,0.080
0.855,0.734,0.082
0.860,0.732,0.083
0.865,0.709,0.080
0.870,0.739,0.078
0.875,0.691,0.074
0.885,0.673,0.073
0.890,0.705,0.070
0.895,0.716,0.074
0.900,0.727,0.074
0.905,0.762,0.072
0.910,0.704,0.069
0.915,0.685,0.071
0.920,0.685,0.074
0.925,0.684,0.075
0.930,0.671,0.074
0.935,0.660,0.072
0.940,0.683,0.070
0.945,0.693,0.071
0.950,0.713,0.072
0.955,0.674,0.070
0.960,0.707,0.068
0.965,0.712,0.067
0.970,0.680,0.072
0.975,0.653,0.066
0.980,0.624,0.062
0.985,0.674,0.061
0.990,0.680,0.059
0.995,0.709,0.061
1.000,0.773,0.059
1.005,0.785,0.060
1.010,0.829,0.067
1.015,0.816,0.064
1.020,0.777,0.065
1.025,0.822,0.059
1.030,0.830,0.065
1.035,0.755,0.061
1.040,0.698,0.062
1.045,0.789,0.063
1.050,0.805,0.058
1.055,0.756,0.066
1.060,0.758,0.065
1.065,0.746,0.062
1.070,0.790,0.060
1.075,0.750,0.063
1.080,0.708,0.066
1.085,0.735,0.063
1.090,0.756,0.062
1.095,0.833,0.068
1.100,0.839,0.069
1.105,0.778,0.077
1.110,0.808,0.072
1.115,0.785,0.072
1.120,0.820,0.077
1.125,0.928,0.076
1.130,0.877,0.089
1.135,0.795,0.086
1.140,0.864,0.074
1.150,0.845,0.080
1.155,0.819,0.075
1.160,0.907,0.073
1.165,0.925,0.073
1.170,0.889,0.073
1.175,0.888,0.076
1.180,0.900,0.072
1.185,0.826,0.077
1.190,0.857,0.074
1.195,0.835,0.077
1.200,0.799,0.074
1.205,0.893,0.079
1.210,0.975,0.077
1.215,1.000,0.080
1.220,0.887,0.079
1.230,0.844,0.070
1.235,0.838,0.073
1.240,0.797,0.076
1.245,0.891,0.071
1.250,0.999,0.075
1.255,0.916,0.083
1.265,1.017,0.077
1.275,0.902,0.073
1.280,0.883,0.072
1.285,0.902,0.085
1.290,1.003,0.070
1.295,0.905,0.075
1.300,0.885,0.078
1.305,0.955,0.072
1.310,0.979,0.077
1.315,0.932,0.079
1.320,0.877,0.082
1.325,0.883,0.081
