0.780,1.176,0.036
0.785,1.147,0.039
0.790,1.137,0.038
0.795,1.099,0.037
0.800,1.102,0.038
0.805,1.045,0.038
0.810,1.065,0.036
0.815,1.075,0.039
0.820,1.064,0.039
0.825,1.074,0.037
0.830,1.094,0.038
0.835,1.097,0.039
0.840,1.093,0.034
0.845,1.095,0.035
0.850,1.055,0.032
0.855,1.024,0.036
0.860,1.000,0.031
0.865,1.000,0.036
0.870,1.023,0.035
0.875,1.024,0.033
0.880,1.025,0.031
0.885,1.071,0.032
0.890,1.040,0.034
0.895,1.003,0.032
0.900,1.030,0.031
0.905,1.010,0.029
0.910,1.006,0.031
0.915,1.060,0.032
0.920,1.037,0.027
0.925,1.013,0.028
0.930,1.016,0.033
0.935,1.000,0.031
0.940,0.966,0.029
0.945,0.964,0.030
0.950,0.939,0.035
0.955,0.947,0.030
0.960,0.960,0.028
0.965,0.956,0.026
0.970,0.959,0.030
0.975,0.937,0.026
0.980,0.903,0.026
0.985,0.899,0.023
0.990,0.915,0.025
0.995,0.911,0.025
1.000,0.909,0.029
1.005,0.914,0.026
1.010,0.938,0.026
1.015,0.933,0.026
1.020,0.895,0.022
1.025,0.844,0.028
1.030,0.818,0.025
1.035,0.851,0.025
1.040,0.865,0.024
1.045,0.861,0.022
1.050,0.865,0.023
1.055,0.865,0.023
1.060,0.866,0.024
1.065,0.885,0.025
1.070,0.902,0.024
1.075,0.873,0.024
1.080,0.879,0.025
1.085,0.891,0.024
1.090,0.851,0.025
1.095,0.873,0.027
1.100,0.942,0.026
1.105,0.937,0.025
1.110,0.934,0.026
1.115,0.911,0.028
1.120,0.911,0.031
1.125,0.888,0.029
1.130,0.873,0.032
1.135,0.897,0.032
1.140,0.928,0.037
1.145,0.880,0.033
1.150,0.883,0.032
1.155,0.961,0.031
1.160,0.988,0.032
1.165,0.995,0.030
1.170,1.000,0.028
1.175,0.956,0.027
1.180,0.943,0.027
1.185,0.950,0.027
1.190,0.956,0.027
1.195,0.953,0.025
1.200,0.952,0.028
1.205,0.944,0.027
1.210,0.980,0.028
1.215,1.000,0.029
1.220,0.987,0.030
1.225,1.005,0.030
1.230,0.981,0.029
1.235,0.978,0.031
1.240,1.044,0.028
1.245,1.068,0.029
1.250,1.012,0.030
1.255,0.986,0.030
1.260,1.001,0.029
1.265,0.990,0.028
1.270,1.005,0.031
1.275,1.035,0.031
1.280,1.049,0.029
1.285,1.039,0.030
1.290,1.022,0.029
1.295,1.026,0.027
1.300,1.017,0.026
1.305,1.029,0.029
1.310,1.066,0.026
1.315,1.039,0.028
1.320,0.997,0.030
1.325,1.029,0.029
1.330,1.056,0.032
1.335,1.084,0.031
1.340,1.089,0.034
1.345,1.061,0.036
1.350,1.026,0.041
1.355,1.121,0.053
1.360,1.168,0.064
1.365,1.005,0.118
1.370,0.982,0.111
1.375,1.147,0.121
1.380,1.051,0.098
1.385,1.119,0.102
1.390,1.199,0.105
1.395,1.085,0.081
1.400,1.082,0.090
1.405,1.175,0.077
1.410,1.171,0.072
1.415,1.176,0.058
1.420,1.167,0.060
1.425,1.174,0.050
1.430,1.206,0.052
1.435,1.143,0.051
1.450,1.100,0.040
1.455,1.117,0.040
1.460,1.181,0.038
1.465,1.227,0.044
1.470,1.207,0.039
1.475,1.186,0.042
1.480,1.180,0.039
1.485,1.200,0.041
1.490,1.240,0.036
1.495,1.241,0.038
1.500,1.273,0.039
1.505,1.244,0.035
1.510,1.212,0.034
1.515,1.240,0.037
1.520,1.272,0.035
1.525,1.135,0.034
1.530,1.128,0.032
1.535,1.175,0.030
1.540,1.254,0.035
1.545,1.340,0.033
1.550,1.355,0.037
1.555,1.460,0.039
1.560,1.500,0.040
1.565,1.426,0.036
1.570,1.292,0.033
1.575,1.286,0.034
1.580,1.365,0.036
1.585,1.425,0.039
1.590,1.446,0.041
1.595,1.402,0.040
1.600,1.344,0.039
1.605,1.359,0.038
1.610,1.400,0.036
1.615,1.383,0.036
1.620,1.370,0.036
1.625,1.379,0.037
1.630,1.382,0.035
1.635,1.394,0.035
1.640,1.375,0.041
1.645,1.307,0.041
1.650,1.392,0.042
1.655,1.380,0.038
1.660,1.247,0.038
