0.695,0.762,0.090
0.700,0.784,0.080
0.705,0.802,0.073
0.710,0.807,0.064
0.715,0.791,0.070
0.720,0.809,0.063
0.725,0.794,0.052
0.730,0.771,0.052
0.735,0.790,0.047
0.740,0.783,0.046
0.745,0.741,0.046
0.750,0.780,0.051
0.755,0.780,0.051
0.760,0.767,0.053
0.765,0.730,0.040
0.770,0.786,0.041
0.775,0.756,0.041
0.780,0.739,0.038
0.785,0.718,0.037
0.790,0.713,0.042
0.795,0.683,0.035
0.800,0.664,0.033
0.805,0.666,0.035
0.810,0.614,0.036
0.815,0.624,0.035
0.820,0.622,0.037
0.825,0.631,0.034
0.830,0.599,0.040
0.835,0.580,0.031
0.840,0.586,0.033
0.845,0.565,0.031
0.850,0.562,0.030
0.855,0.552,0.031
0.860,0.562,0.031
0.865,0.542,0.035
0.870,0.510,0.029
0.875,0.504,0.029
0.880,0.498,0.029
0.885,0.485,0.030
0.890,0.451,0.028
0.895,0.453,0.028
0.900,0.463,0.030
0.905,0.469,0.029
0.910,0.473,0.030
0.915,0.467,0.025
0.920,0.454,0.025
0.925,0.474,0.027
0.930,0.475,0.028
0.935,0.479,0.036
0.940,0.454,0.032
0.945,0.431,0.031
0.950,0.476,0.029
0.955,0.484,0.031
0.960,0.466,0.030
0.965,0.502,0.025
0.970,0.496,0.028
0.975,0.491,0.026
0.980,0.526,0.026
0.985,0.532,0.024
0.990,0.530,0.025
0.995,0.533,0.028
1.000,0.586,0.026
1.005,0.595,0.030
1.010,0.594,0.025
1.015,0.602,0.028
1.020,0.617,0.028
1.025,0.637,0.026
1.030,0.644,0.026
1.035,0.663,0.027
1.040,0.670,0.025
1.045,0.702,0.027
1.050,0.724,0.028
1.055,0.721,0.029
1.060,0.740,0.027
1.065,0.763,0.029
1.070,0.763,0.029
1.075,0.783,0.032
1.080,0.781,0.032
1.085,0.771,0.030
1.090,0.810,0.036
1.095,0.839,0.032
1.100,0.865,0.035
1.105,0.867,0.035
1.110,0.858,0.035
1.115,0.847,0.036
1.120,0.849,0.038
1.125,0.852,0.040
1.130,0.844,0.041
1.135,0.840,0.045
1.145,0.853,0.043
1.150,0.885,0.042
1.155,0.888,0.041
1.160,0.906,0.039
1.165,0.940,0.036
1.170,0.933,0.038
1.175,0.926,0.036
1.180,0.932,0.041
1.185,0.931,0.036
1.190,0.951,0.038
1.195,0.943,0.038
1.200,0.910,0.039
1.205,0.940,0.038
1.210,0.997,0.041
1.215,1.000,0.042
1.220,0.965,0.041
1.225,0.944,0.041
1.230,0.953,0.037
1.235,0.979,0.042
1.240,0.976,0.038
1.245,0.967,0.038
1.250,0.997,0.039
1.255,0.983,0.043
1.260,0.932,0.041
1.265,0.924,0.040
1.270,0.932,0.046
1.275,0.989,0.044
1.285,1.028,0.043
1.290,1.013,0.042
1.295,0.994,0.043
1.300,0.995,0.042
1.305,0.986,0.038
1.310,0.977,0.042
1.315,0.972,0.041
1.320,0.950,0.040
1.325,0.956,0.042
1.330,0.995,0.044
1.335,0.986,0.043
1.340,0.914,0.050
1.345,0.904,0.051
1.350,0.900,0.065
1.355,1.006,0.085
1.360,0.914,0.109
1.365,1.061,0.170
1.370,1.034,0.108
1.375,0.925,0.183
1.380,0.934,0.117
1.385,1.021,0.113
1.390,0.980,0.136
1.400,1.001,0.103
1.405,0.937,0.098
1.410,0.945,0.083
1.415,0.927,0.079
1.420,0.883,0.075
1.425,0.889,0.066
1.430,0.938,0.060
1.435,0.910,0.058
1.440,0.982,0.062
1.445,1.004,0.055
1.450,0.915,0.054
1.455,0.950,0.049
1.460,0.971,0.056
1.465,0.927,0.048
1.470,0.943,0.048
1.475,0.944,0.049
1.480,0.942,0.051
1.485,0.884,0.046
1.490,0.870,0.047
1.495,0.937,0.042
1.500,0.968,0.041
1.505,0.984,0.046
1.510,0.882,0.044
1.515,0.785,0.040
1.520,0.796,0.043
1.525,0.863,0.042
1.530,0.905,0.038
1.535,0.927,0.040
1.540,0.920,0.042
1.545,0.862,0.035
1.550,0.840,0.041
1.555,0.839,0.037
1.560,0.831,0.037
1.565,0.853,0.036
1.570,0.891,0.042
1.575,0.918,0.042
1.580,0.904,0.040
1.585,0.846,0.044
1.590,0.784,0.037
1.595,0.784,0.041
1.600,0.820,0.037
1.605,0.864,0.040
1.610,0.905,0.045
1.615,0.913,0.044
1.620,0.882,0.045
1.625,0.802,0.035
1.630,0.801,0.038
1.635,0.846,0.042
1.640,0.823,0.038
1.645,0.789,0.039
1.650,0.800,0.041
1.655,0.777,0.041
1.660,0.721,0.037
1.665,0.694,0.039
1.670,0.686,0.042
1.675,0.712,0.038
1.680,0.765,0.042
1.685,0.773,0.041
1.690,0.747,0.042
1.695,0.753,0.039
1.700,0.771,0.038
1.705,0.762,0.044
1.710,0.738,0.037
1.715,0.736,0.043
1.720,0.703,0.037
1.725,0.677,0.040
1.730,0.692,0.041
1.735,0.718,0.039
1.740,0.718,0.044
1.745,0.678,0.042
1.750,0.682,0.040
1.755,0.694,0.041
1.760,0.704,0.047
1.765,0.667,0.040
1.770,0.636,0.041
1.775,0.643,0.045
1.780,0.619,0.045
