ASTEROID_NUMBER,PROVISIONAL_ID,PROPER_A,PROPER_ECC,SINE_PROPER_INCL,FAMILY_NAME,CLUMP_FLAG,CONFIDENCE_LEVEL
2073,---,2.71651,0.1116,0.0331,---,-,9
2076,---,2.27347,0.1379,0.0918,Flora,F,2
2079,---,2.59857,0.1245,0.2307,Eunomia,F,2
2080,---,2.17669,0.1024,0.0560,---,-,9
2081,---,2.45012,0.1521,0.0532,Polana(nysa),F,2
2082,---,2.92212,0.1920,0.0326,---,-,9
2084,---,2.39545,0.0836,0.0797,---,-,9
2085,---,2.69915,0.0634,0.0489,Henan,F,2
2086,---,2.40132,0.1149,0.1046,Vesta,F,1
2087,---,2.20594,0.0752,0.0281,---,-,9
2088,---,2.20705,0.1228,0.0896,Flora,F,2
2089,---,2.53432,0.1180,0.2514,Faina,C,0
2090,---,3.06958,0.1273,0.2106,Asta,C,0
2091,---,3.01436,0.0589,0.1768,Eos,F,3
2092,---,2.84823,0.0466,0.0363,Koronis,F,3
2093,---,2.26919,0.1520,0.1040,Flora,F,2
2094,---,2.23225,0.1487,0.0953,Flora,F,2
2095,---,2.64140,0.0422,0.0742,---,-,9
2096,---,2.44502,0.1946,0.0344,---,-,9
2097,---,3.13115,0.2274,0.0918,---,-,9
2098,---,2.42393,0.0941,0.1176,---,-,9
2103,---,3.15134,0.2090,0.1602,---,-,9
2106,---,2.70340,0.0610,0.1316,---,-,9
2107,---,2.62695,0.0615,0.1645,---,-,9
2108,---,2.43621,0.0401,0.1933,---,-,9
2109,---,2.69147,0.2204,0.1254,---,-,9
2110,---,2.19806,0.1194,0.0200,---,-,9
2111,---,3.01876,0.0613,0.1758,Eos,F,3
2112,---,2.25375,0.1243,0.0704,Flora,F,2
2113,---,2.47382,0.0734,0.1060,---,-,9
2114,---,3.20048,0.1643,0.0255,Themis,F,3
2115,---,3.01055,0.0895,0.1722,Eos,F,3
2116,---,2.58877,0.0229,0.1553,---,-,9
2117,---,2.87025,0.0497,0.0373,Koronis,F,3
2118,---,2.54586,0.2024,0.1208,---,-,9
2119,---,2.25131,0.1292,0.0773,Flora,F,2
2121,---,2.18358,0.1190,0.0747,Augusta,F,3
2122,---,2.40173,0.0101,0.1244,---,-,9
2123,---,2.86021,0.0398,0.0358,Koronis,F,3
2124,---,3.02350,0.0803,0.1745,Eos,F,3
2125,---,2.78668,0.0776,0.0442,---,-,9
2126,---,2.39007,0.0995,0.1554,---,-,9
2127,---,3.20977,0.0428,0.2066,---,-,9
2129,---,2.18094,0.1357,0.0772,Flora,F,2
2130,---,2.25288,0.1400,0.0970,Flora,F,2
2132,---,2.78094,0.0670,0.0829,---,-,9
2133,---,2.41049,0.1446,0.1058,---,-,9
2136,---,3.02080,0.0797,0.1723,Eos,F,3
2137,---,3.18286,0.0702,0.2166,---,-,9
2138,---,2.68623,0.0800,0.0843,---,-,9
2139,---,2.46040,0.1605,0.0555,Nysa,F,1
2140,---,2.98832,0.0280,0.1415,---,-,9
2141,---,2.80386,0.1025,0.1235,---,-,9
