asteroid number,asteroid name,wavelength,reflectance,uncertainty
105,artemis,0.6491,0.85076,0.00248
105,artemis,0.6513,0.83949,0.00239
105,artemis,0.6557,0.83466,0.00225
105,artemis,0.6601,0.83566,0.00216
105,artemis,0.6623,0.85659,0.00217
105,artemis,0.6645,0.83536,0.00205
105,artemis,0.6795,0.86418,0.00190
105,artemis,0.6817,0.85753,0.00183
105,artemis,0.6838,0.87261,0.00186
105,artemis,0.6860,0.86128,0.00180
105,artemis,0.6881,0.87315,0.00180
105,artemis,0.6903,0.85516,0.00173
105,artemis,0.6946,0.87145,0.00169
105,artemis,0.6968,0.87337,0.00167
105,artemis,0.6989,0.85824,0.00160
105,artemis,0.7011,0.85105,0.00159
105,artemis,0.7033,0.87370,0.00156
105,artemis,0.7055,0.87275,0.00153
105,artemis,0.7077,0.85459,0.00147
105,artemis,0.7099,0.87079,0.00147
105,artemis,0.7121,0.86264,0.00145
105,artemis,0.7144,0.86093,0.00143
105,artemis,0.7166,0.85269,0.00139
105,artemis,0.7211,0.85171,0.00137
105,artemis,0.7234,0.87136,0.00140
105,artemis,0.7256,0.85777,0.00136
105,artemis,0.7279,0.86402,0.00133
105,artemis,0.7302,0.86623,0.00130
105,artemis,0.7326,0.87279,0.00132
105,artemis,0.7349,0.87464,0.00130
105,artemis,0.7372,0.87550,0.00127
105,artemis,0.7396,0.86752,0.00124
105,artemis,0.7420,0.87839,0.00125
105,artemis,0.7468,0.87509,0.00121
105,artemis,0.7492,0.86824,0.00117
105,artemis,0.7516,0.88828,0.00121
105,artemis,0.7541,0.86055,0.00119
105,artemis,0.7566,0.87840,0.00124
105,artemis,0.7591,0.86601,0.00121
105,artemis,0.7615,0.88181,0.00124
105,artemis,0.7641,0.88418,0.00122
105,artemis,0.7666,0.87343,0.00120
105,artemis,0.7692,0.86703,0.00114
105,artemis,0.7717,0.87999,0.00113
105,artemis,0.7743,0.86424,0.00109
105,artemis,0.7769,0.86077,0.00109
105,artemis,0.7796,0.87026,0.00111
105,artemis,0.7822,0.87049,0.00109
105,artemis,0.7849,0.87241,0.00107
105,artemis,0.7875,0.87836,0.00108
105,artemis,0.7903,0.87864,0.00107
105,artemis,0.7930,0.89172,0.00108
105,artemis,0.7957,0.88237,0.00106
105,artemis,0.7985,0.89250,0.00108
105,artemis,0.8012,0.88821,0.00107
105,artemis,0.8040,0.87923,0.00106
105,artemis,0.8069,0.87848,0.00106
105,artemis,0.8097,0.89226,0.00107
105,artemis,0.8125,0.89255,0.00106
105,artemis,0.8154,0.89085,0.00107
105,artemis,0.8183,0.88886,0.00106
105,artemis,0.8212,0.89109,0.00107
105,artemis,0.8242,0.88957,0.00106
105,artemis,0.8271,0.90075,0.00106
105,artemis,0.8301,0.88799,0.00104
105,artemis,0.8331,0.89561,0.00104
105,artemis,0.8361,0.88880,0.00102
105,artemis,0.8391,0.90104,0.00104
105,artemis,0.8422,0.90084,0.00103
105,artemis,0.8452,0.89502,0.00102
105,artemis,0.8483,0.89509,0.00102
105,artemis,0.8515,0.90263,0.00103
105,artemis,0.8546,0.90466,0.00102
105,artemis,0.8577,0.89742,0.00102
105,artemis,0.8609,0.89902,0.00102
105,artemis,0.8641,0.90853,0.00102
105,artemis,0.8673,0.89764,0.00101
105,artemis,0.8705,0.90093,0.00101
105,artemis,0.8738,0.89489,0.00100
105,artemis,0.8770,0.90894,0.00101
105,artemis,0.8803,0.89786,0.00099
105,artemis,0.8836,0.90668,0.00100
105,artemis,0.8870,0.89797,0.00099
105,artemis,0.8903,0.89581,0.00099
105,artemis,0.8937,0.89004,0.00098
105,artemis,0.8970,0.90296,0.00100
105,artemis,0.9004,0.90357,0.00099
105,artemis,0.9038,0.90491,0.00100
105,artemis,0.9073,0.90674,0.00099
105,artemis,0.9107,0.90668,0.00099
105,artemis,0.9142,0.90115,0.00098
105,artemis,0.9177,0.90659,0.00099
105,artemis,0.9212,0.91967,0.00100
105,artemis,0.9247,0.90802,0.00101
105,artemis,0.9282,0.90800,0.00102
105,artemis,0.9318,0.90817,0.00103
105,artemis,0.9354,0.91041,0.00104
105,artemis,0.9390,0.90985,0.00106
105,artemis,0.9426,0.90021,0.00104
105,artemis,0.9462,0.92448,0.00105
105,artemis,0.9498,0.90951,0.00102
105,artemis,0.9535,0.91748,0.00102
105,artemis,0.9572,0.92675,0.00101
105,artemis,0.9608,0.92291,0.00099
105,artemis,0.9646,0.91876,0.00098
105,artemis,0.9683,0.92448,0.00097
105,artemis,0.9720,0.91735,0.00095
105,artemis,0.9758,0.91840,0.00095
105,artemis,0.9795,0.90865,0.00095
105,artemis,0.9833,0.91629,0.00094
