asteroid number,asteroid name,wavelength,reflectance,uncertainty
101,helena,1.1323,0.89848,0.00564
101,helena,1.1365,0.9059,0.00561
101,helena,1.1407,0.90459,0.00559
101,helena,1.1449,0.90582,0.00552
101,helena,1.1491,0.90599,0.00553
101,helena,1.1533,0.9107,0.00549
101,helena,1.1576,0.90957,0.00541
101,helena,1.1618,0.91125,0.00535
101,helena,1.166,0.9174,0.00533
101,helena,1.1703,0.92019,0.00532
101,helena,1.1745,0.91989,0.0053
101,helena,1.1788,0.92317,0.0053
101,helena,1.183,0.9169,0.0053
101,helena,1.1873,0.92117,0.00531
101,helena,1.1916,0.92225,0.0053
101,helena,1.1958,0.92875,0.00532
101,helena,1.2001,0.92472,0.00531
101,helena,1.2044,0.92823,0.00532
101,helena,1.2087,0.92487,0.00533
101,helena,1.213,0.93403,0.00534
101,helena,1.2172,0.92798,0.00532
101,helena,1.2215,0.93452,0.00539
101,helena,1.2258,0.93339,0.00534
101,helena,1.2301,0.93806,0.00533
101,helena,1.2344,0.93411,0.00531
101,helena,1.2387,0.93689,0.00533
101,helena,1.243,0.93911,0.00532
101,helena,1.2473,0.94272,0.00533
101,helena,1.2517,0.9417,0.00536
101,helena,1.256,0.94838,0.0054
101,helena,1.2603,0.9441,0.00541
101,helena,1.2646,0.94956,0.00547
101,helena,1.2689,0.94401,0.0055
101,helena,1.2732,0.95166,0.00551
101,helena,1.2775,0.95478,0.00554
101,helena,1.2819,0.95784,0.00549
101,helena,1.2862,0.95759,0.00548
101,helena,1.2905,0.96187,0.00548
101,helena,1.2948,0.9556,0.00545
101,helena,1.2991,0.96045,0.00547
101,helena,1.3034,0.96021,0.00547
101,helena,1.3078,0.96267,0.0055
101,helena,1.3121,0.96114,0.00554
101,helena,1.3164,0.96941,0.00557
101,helena,1.3207,0.96841,0.00557
101,helena,1.325,0.9691,0.00562
101,helena,1.3294,0.96986,0.00567
101,helena,1.3337,0.97463,0.00571
101,helena,1.338,0.97163,0.00574
101,helena,1.3423,0.98143,0.00586
101,helena,1.3466,0.97986,0.00608
101,helena,1.3509,0.98362,0.00654
101,helena,1.3552,0.98891,0.00737
101,helena,1.3595,0.993,0.00865
101,helena,1.3638,0.98688,0.01008
101,helena,1.3724,1.00079,0.00954
101,helena,1.381,0.99,0.00914
101,helena,1.3853,0.99412,0.0089
101,helena,1.3896,0.99122,0.00867
101,helena,1.3938,1.0037,0.00854
101,helena,1.3981,1.00093,0.00833
101,helena,1.4024,0.99992,0.00829
101,helena,1.4109,0.99871,0.00772
101,helena,1.4152,0.99905,0.00739
101,helena,1.4195,1.0069,0.00705
101,helena,1.4237,1.00137,0.00686
101,helena,1.428,1.00721,0.0068
101,helena,1.4322,1.00354,0.0067
101,helena,1.4365,1.00223,0.00676
101,helena,1.4407,0.99071,0.00662
101,helena,1.4449,1.0031,0.00657
101,helena,1.4492,0.9926,0.00642
101,helena,1.4534,1.00384,0.00646
101,helena,1.4576,0.99214,0.00642
101,helena,1.4618,1.00282,0.00625
101,helena,1.4661,1.00496,0.0063
101,helena,1.4703,1.00306,0.00642
101,helena,1.4745,1.00097,0.00643
101,helena,1.4787,1.00362,0.00641
101,helena,1.4829,1.00525,0.00628
101,helena,1.487,1.00663,0.00633
101,helena,1.4912,0.99975,0.00615
101,helena,1.4954,1.0054,0.00608
101,helena,1.4996,1,0.00602
101,helena,1.5038,0.99595,0.00604
101,helena,1.5079,1.00102,0.00615
101,helena,1.5121,1.00174,0.00604
101,helena,1.5162,1.00203,0.00601
101,helena,1.5204,1.00374,0.00608
101,helena,1.5245,0.99533,0.00599
101,helena,1.5287,1.00422,0.00603
101,helena,1.5328,0.99687,0.00602
101,helena,1.5369,1.00332,0.00605
101,helena,1.541,0.99522,0.00601
101,helena,1.5451,0.99855,0.00604
101,helena,1.5492,0.99353,0.00603
101,helena,1.5533,1.00564,0.00607
101,helena,1.5574,0.99668,0.00607
101,helena,1.5615,0.99755,0.00608
101,helena,1.5656,0.9944,0.00608
101,helena,1.5697,0.99364,0.00609
101,helena,1.5737,0.98927,0.00609
101,helena,1.5778,0.98959,0.00613
101,helena,1.5819,0.98238,0.00618
101,helena,1.5859,0.99037,0.0062
101,helena,1.59,0.98133,0.00614
101,helena,1.594,0.98835,0.00615
101,helena,1.598,0.98329,0.00611
101,helena,1.6021,0.98503,0.00617
101,helena,1.6061,0.98061,0.00619
101,helena,1.6101,0.98468,0.00623
101,helena,1.6141,0.98027,0.00627
101,helena,1.6181,0.98733,0.00621
101,helena,1.6221,0.98008,0.00622
101,helena,1.6261,0.98446,0.00617
101,helena,1.6301,0.9797,0.00616
101,helena,1.634,0.98526,0.00617
101,helena,1.638,0.97141,0.00619
101,helena,1.642,0.97555,0.0062
101,helena,1.6459,0.97007,0.00621
101,helena,1.6499,0.97697,0.0062
101,helena,1.6538,0.97091,0.00622
101,helena,1.6578,0.97194,0.00618
101,helena,1.6617,0.96473,0.00617
101,helena,1.6656,0.97187,0.00624
101,helena,1.6695,0.96975,0.0063
101,helena,1.6734,0.97156,0.0063
101,helena,1.6773,0.96846,0.00629
101,helena,1.6812,0.97184,0.00625
101,helena,1.6851,0.96345,0.00625
101,helena,1.689,0.97019,0.0063
101,helena,1.6929,0.95855,0.00627
101,helena,1.6967,0.97144,0.00635
101,helena,1.7006,0.96703,0.00634
101,helena,1.7045,0.9586,0.0063
101,helena,1.7083,0.95371,0.00635
101,helena,1.7122,0.96246,0.00635
101,helena,1.716,0.96015,0.00636
101,helena,1.7198,0.95969,0.00635
101,helena,1.7236,0.95251,0.00632
101,helena,1.7275,0.95677,0.00637
101,helena,1.7313,0.95431,0.00642
101,helena,1.7351,0.95307,0.00645
101,helena,1.7389,0.95045,0.00649
101,helena,1.7427,0.95158,0.00651
101,helena,1.7465,0.94973,0.00648
101,helena,1.7502,0.9535,0.00649
101,helena,1.754,0.9449,0.00644
101,helena,1.7578,0.95207,0.00654
101,helena,1.7615,0.94695,0.0065
101,helena,1.7653,0.95037,0.00663
101,helena,1.769,0.94539,0.00665
101,helena,1.7728,0.94486,0.00662
101,helena,1.7765,0.9391,0.00657
101,helena,1.7802,0.94438,0.00668
101,helena,1.7839,0.95024,0.00691
101,helena,1.7877,0.94976,0.00691
101,helena,1.7914,0.94667,0.00692
101,helena,1.7951,0.9462,0.00703
101,helena,1.7988,0.94555,0.00741
101,helena,1.8025,0.94016,0.00753
101,helena,1.8062,0.94578,0.00788
101,helena,1.8098,0.94375,0.00808
101,helena,1.8135,0.94233,0.00838
101,helena,1.8208,0.94047,0.0092
101,helena,1.8391,0.93982,0.01555
101,helena,1.8571,0.93762,0.01445
101,helena,1.8893,0.94777,0.01094
101,helena,1.8929,0.94585,0.01106
101,helena,1.9035,0.93486,0.01482
101,helena,1.907,0.93977,0.01425
101,helena,1.9176,0.94482,0.01214
101,helena,1.9211,0.94751,0.01121
101,helena,1.9281,0.93631,0.01055
101,helena,1.9316,0.94568,0.01022
101,helena,1.9351,0.94756,0.00983
101,helena,1.9385,0.9479,0.00948
101,helena,1.942,0.94576,0.00938
101,helena,1.9455,0.93707,0.00912
101,helena,1.949,0.95468,0.00918
101,helena,1.9524,0.9564,0.00953
101,helena,1.9559,0.95212,0.00971
101,helena,1.9593,0.94942,0.00963
101,helena,1.9628,0.94195,0.00924
101,helena,1.9662,0.94977,0.00886
101,helena,1.9697,0.94642,0.00853
101,helena,1.9731,0.94953,0.00827
101,helena,1.9765,0.94307,0.00806
101,helena,1.98,0.9499,0.0079
101,helena,1.9834,0.95032,0.00778
101,helena,1.9868,0.94557,0.00765
101,helena,1.9902,0.94716,0.00766
101,helena,1.9936,0.95612,0.00788
101,helena,1.997,0.96264,0.00847
101,helena,2.0004,0.96666,0.00973
101,helena,2.0038,0.95,0.01061
101,helena,2.0072,0.9563,0.01116
101,helena,2.0105,0.97125,0.0108
101,helena,2.0139,0.96962,0.01044
101,helena,2.0173,0.96614,0.01003
101,helena,2.0207,0.95595,0.0093
101,helena,2.024,0.96231,0.00884
101,helena,2.0274,0.96189,0.00842
101,helena,2.0307,0.95965,0.00823
101,helena,2.0341,0.95792,0.00808
101,helena,2.0374,0.95168,0.00801
101,helena,2.0408,0.95476,0.00807
101,helena,2.0441,0.95581,0.00807
101,helena,2.0474,0.96533,0.00832
101,helena,2.0508,0.95617,0.00852
101,helena,2.0541,0.96231,0.00892
101,helena,2.0574,0.95621,0.00899
101,helena,2.0607,0.95866,0.00897
101,helena,2.064,0.96445,0.00884
101,helena,2.0673,0.95914,0.00875
101,helena,2.0706,0.95715,0.00875
101,helena,2.0739,0.96648,0.00865
101,helena,2.0772,0.95844,0.00871
101,helena,2.0805,0.96562,0.00829
101,helena,2.0838,0.97137,0.00829
101,helena,2.0871,0.96335,0.00827
101,helena,2.0903,0.95787,0.00824
101,helena,2.0936,0.95962,0.00823
101,helena,2.0969,0.96783,0.00825
101,helena,2.1001,0.96841,0.00827
101,helena,2.1034,0.9717,0.00834
101,helena,2.1066,0.96984,0.00839
101,helena,2.1099,0.96196,0.00836
101,helena,2.1131,0.96112,0.0084
101,helena,2.1163,0.96331,0.00843
101,helena,2.1196,0.96078,0.0084
101,helena,2.1228,0.96293,0.00846
101,helena,2.126,0.96532,0.00846
101,helena,2.1292,0.96739,0.00843
101,helena,2.1324,0.97153,0.00844
101,helena,2.1357,0.96841,0.0085
101,helena,2.1389,0.96551,0.00843
101,helena,2.1421,0.9686,0.00848
101,helena,2.1452,0.96876,0.00849
101,helena,2.1484,0.96568,0.00856
101,helena,2.1516,0.96726,0.00869
101,helena,2.1548,0.9702,0.00877
101,helena,2.158,0.97192,0.00876
101,helena,2.1612,0.97464,0.00875
101,helena,2.1643,0.9759,0.00884
101,helena,2.1675,0.9731,0.00886
101,helena,2.1706,0.97277,0.00893
101,helena,2.1738,0.97365,0.00887
101,helena,2.1769,0.97713,0.0089
101,helena,2.1801,0.97735,0.00896
101,helena,2.1832,0.97718,0.00896
101,helena,2.1864,0.97338,0.00899
101,helena,2.1895,0.97427,0.00898
101,helena,2.1926,0.97465,0.00899
101,helena,2.1957,0.98379,0.00912
101,helena,2.1988,0.97917,0.0091
101,helena,2.2019,0.97462,0.00916
101,helena,2.205,0.97988,0.00924
101,helena,2.2081,0.98432,0.00922
101,helena,2.2112,0.98048,0.00928
101,helena,2.2143,0.98127,0.0093
101,helena,2.2174,0.98342,0.00929
101,helena,2.2205,0.98697,0.00931
101,helena,2.2236,0.98344,0.00923
101,helena,2.2266,0.98359,0.0093
101,helena,2.2297,0.9789,0.00937
101,helena,2.2327,0.98279,0.00941
101,helena,2.2358,0.97356,0.0094
101,helena,2.2388,0.98893,0.00949
101,helena,2.2419,0.981,0.00938
101,helena,2.2449,0.97244,0.00937
101,helena,2.248,0.98694,0.00952
101,helena,2.251,0.98383,0.00957
101,helena,2.254,0.98248,0.0097
101,helena,2.257,0.98538,0.00967
101,helena,2.26,0.98379,0.00971
101,helena,2.263,0.98878,0.00978
101,helena,2.266,0.97915,0.00975
101,helena,2.269,0.98883,0.00987
101,helena,2.272,0.98762,0.00988
101,helena,2.275,0.98516,0.00988
101,helena,2.278,0.98928,0.00996
101,helena,2.281,0.99241,0.00998
101,helena,2.2839,0.98118,0.00999
101,helena,2.2869,0.99895,0.01016
101,helena,2.2899,0.99038,0.01007
101,helena,2.2928,0.98532,0.0101
101,helena,2.2958,0.98119,0.01015
101,helena,2.2987,0.98861,0.01032
101,helena,2.3017,0.99473,0.01041
101,helena,2.3046,0.99374,0.01033
101,helena,2.3075,0.98358,0.0103
101,helena,2.3104,0.98265,0.01023
101,helena,2.3134,1.00012,0.01029
101,helena,2.3163,0.99422,0.01045
101,helena,2.3192,0.99362,0.0106
101,helena,2.3221,0.99148,0.01074
101,helena,2.325,0.98595,0.01057
101,helena,2.3279,0.99392,0.01052
101,helena,2.3308,0.98915,0.01065
101,helena,2.3337,0.99727,0.01084
101,helena,2.3365,0.99889,0.0108
101,helena,2.3394,0.99466,0.01082
101,helena,2.3423,0.98367,0.01079
101,helena,2.3451,0.99981,0.01101
101,helena,2.348,0.99752,0.01109
101,helena,2.3509,0.99769,0.0112
101,helena,2.3537,0.98304,0.0115
101,helena,2.3565,0.98253,0.01243
101,helena,2.3594,0.98203,0.01275
101,helena,2.3622,0.98507,0.01178
101,helena,2.3651,0.98217,0.01106
101,helena,2.3679,0.99711,0.01139
101,helena,2.3707,0.99382,0.01164
101,helena,2.3735,0.98733,0.01173
101,helena,2.3763,0.9946,0.01174
101,helena,2.3792,1.00428,0.01216
101,helena,2.382,0.98785,0.01158
101,helena,2.3848,0.98855,0.01173
101,helena,2.3876,0.98808,0.01181
101,helena,2.3904,0.9932,0.01185
101,helena,2.3931,0.99258,0.01178
101,helena,2.3959,0.99835,0.01173
101,helena,2.3987,0.99403,0.01166
101,helena,2.4015,0.99242,0.01227
101,helena,2.4043,0.99856,0.0119
101,helena,2.407,0.99175,0.01194
101,helena,2.4098,0.9913,0.01207
101,helena,2.4126,0.99746,0.01226
101,helena,2.4154,1.00037,0.0127
101,helena,2.4181,0.99401,0.01293
101,helena,2.4209,0.9835,0.01275
101,helena,2.4236,0.99715,0.01256
101,helena,2.4264,1.0022,0.01229
101,helena,2.4291,1.01203,0.01238
101,helena,2.4319,1.01211,0.01284
101,helena,2.4346,1.00698,0.01388
101,helena,2.4374,0.97393,0.01469
101,helena,2.4401,0.9988,0.01485
101,helena,2.4429,1.02584,0.01409
101,helena,2.4456,1.01262,0.01382
101,helena,2.4484,0.99377,0.01435
101,helena,2.4511,0.97354,0.0145
101,helena,2.4539,0.97878,0.01386
101,helena,2.4566,0.99439,0.01339
101,helena,2.4594,1.00232,0.01309
101,helena,2.4621,1.00129,0.01334
101,helena,2.4648,0.99429,0.01353
101,helena,2.4676,1.01515,0.01397
101,helena,2.4703,0.99552,0.01474
101,helena,2.4731,0.98016,0.01498
101,helena,2.4758,0.98585,0.01484
101,helena,2.4786,1.01362,0.01525
101,helena,2.4813,0.99889,0.01603
101,helena,2.4841,0.99025,0.01714
101,helena,2.4869,0.98767,0.01791
101,helena,2.4896,0.9861,0.0182
101,helena,2.4924,1.00217,0.01917
101,helena,2.4952,1.00011,0.01864
101,helena,2.4979,1.00682,0.01762
101,helena,2.5007,0.99643,0.0172
1086,nata,0.6516,0.86719,0.02111
1086,nata,0.6538,0.84113,0.02013
1086,nata,0.6582,0.86018,0.01879
1086,nata,0.6604,0.85015,0.01899
1086,nata,0.6626,0.90234,0.01851
1086,nata,0.6647,0.88528,0.01836
1086,nata,0.6669,0.8526,0.0172
1086,nata,0.669,0.86241,0.01738
1086,nata,0.6712,0.84698,0.01606
1086,nata,0.6734,0.8397,0.01636
1086,nata,0.6755,0.84235,0.01596
1086,nata,0.6776,0.86504,0.01601
1086,nata,0.6798,0.85597,0.01568
1086,nata,0.6819,0.86427,0.01573
1086,nata,0.6841,0.85752,0.01516
1086,nata,0.6862,0.88804,0.01564
1086,nata,0.6884,0.85682,0.01498
1086,nata,0.6905,0.84935,0.01468
1086,nata,0.6927,0.85385,0.01407
1086,nata,0.6949,0.89065,0.01418
1086,nata,0.697,0.83618,0.01324
1086,nata,0.6992,0.84806,0.0135
1086,nata,0.7014,0.85787,0.01298
1086,nata,0.7036,0.8797,0.01365
1086,nata,0.7058,0.85767,0.01242
1086,nata,0.708,0.85458,0.01241
1086,nata,0.7102,0.8713,0.01215
1086,nata,0.7124,0.89161,0.0122
1086,nata,0.7146,0.85847,0.01187
1086,nata,0.7169,0.86465,0.01183
1086,nata,0.7191,0.87978,0.01195
1086,nata,0.7214,0.85127,0.01166
1086,nata,0.7236,0.88823,0.01237
1086,nata,0.7259,0.89277,0.01242
1086,nata,0.7282,0.88956,0.01135
1086,nata,0.7305,0.89987,0.01123
1086,nata,0.7329,0.88341,0.01085
1086,nata,0.7352,0.88929,0.01087
1086,nata,0.7375,0.90107,0.01065
1086,nata,0.7399,0.89658,0.01065
1086,nata,0.7423,0.8943,0.01039
1086,nata,0.7447,0.90897,0.01057
1086,nata,0.7471,0.89278,0.01024
