asteroid number,asteroid name,wavelength,reflectance,uncertainty
56,melete,1.3129,0.97257,0.00785
56,melete,1.3171,0.96182,0.00825
56,melete,1.3214,0.99057,0.00796
56,melete,1.3257,0.96248,0.00761
56,melete,1.3300,0.99821,0.00891
56,melete,1.3342,0.96032,0.00830
56,melete,1.3385,0.99020,0.00852
56,melete,1.3428,0.96937,0.00744
56,melete,1.3471,0.98982,0.00825
56,melete,1.3513,0.98718,0.00760
56,melete,1.3556,1.00452,0.00824
56,melete,1.3599,0.95834,0.01140
56,melete,1.3727,1.00038,0.01687
56,melete,1.3770,0.97229,0.00735
56,melete,1.3813,0.98332,0.00838
56,melete,1.3855,0.98124,0.00772
56,melete,1.3898,0.97747,0.00886
56,melete,1.3941,0.97021,0.00870
56,melete,1.3983,0.99039,0.00955
56,melete,1.4026,0.97021,0.00745
56,melete,1.4069,0.98153,0.00805
56,melete,1.4111,0.97172,0.00826
56,melete,1.4154,0.97738,0.00813
56,melete,1.4197,0.96531,0.00963
56,melete,1.4239,0.99802,0.01047
56,melete,1.4282,0.97738,0.00942
56,melete,1.4324,0.98680,0.00834
56,melete,1.4367,0.97408,0.00890
56,melete,1.4409,0.98737,0.00909
56,melete,1.4452,0.98464,0.00878
56,melete,1.4494,0.99293,0.00937
56,melete,1.4537,0.97266,0.00902
56,melete,1.4579,0.99133,0.00962
56,melete,1.4621,0.98162,0.00977
56,melete,1.4664,0.98982,0.00881
56,melete,1.4706,0.98030,0.00937
56,melete,1.4748,0.98577,0.00946
56,melete,1.4790,0.98633,0.01007
56,melete,1.4833,0.98812,0.00904
56,melete,1.4875,0.98690,0.00873
56,melete,1.4917,0.99925,0.00910
56,melete,1.4959,0.98096,0.00870
56,melete,1.5001,1.00000,0.00986
56,melete,1.5043,0.97606,0.00935
56,melete,1.5085,0.99764,0.00952
56,melete,1.5127,0.98548,0.00986
56,melete,1.5169,0.98897,0.01015
56,melete,1.5211,0.98982,0.00905
56,melete,1.5253,1.01103,0.00934
56,melete,1.5295,0.97361,0.00980
56,melete,1.5336,1.00641,0.00944
56,melete,1.5378,0.96946,0.00925
56,melete,1.5420,1.00255,0.01056
56,melete,1.5462,0.97361,0.01022
56,melete,1.5503,0.99444,0.00944
56,melete,1.5545,0.99142,0.00899
56,melete,1.5586,0.99255,0.00925
56,melete,1.5628,0.97983,0.00990
56,melete,1.5669,1.00839,0.01052
56,melete,1.5710,0.97728,0.00886
56,melete,1.5752,1.01320,0.00923
56,melete,1.5793,0.97257,0.00883
56,melete,1.5834,1.00198,0.01042
56,melete,1.5875,0.98153,0.00964
56,melete,1.5917,1.00490,0.01016
56,melete,1.5958,0.98011,0.01134
56,melete,1.5999,0.99727,0.00933
56,melete,1.6040,0.97747,0.00949
56,melete,1.6080,1.00462,0.01002
56,melete,1.6121,0.98115,0.01004
56,melete,1.6162,0.99340,0.00957
56,melete,1.6203,0.98426,0.00939
56,melete,1.6244,1.00302,0.01036
56,melete,1.6284,0.99236,0.00976
56,melete,1.6325,1.00905,0.01011
56,melete,1.6365,0.98991,0.00936
56,melete,1.6406,1.00716,0.01131
56,melete,1.6446,0.98737,0.00974
56,melete,1.6487,0.99906,0.01048
56,melete,1.6527,0.98869,0.00988
56,melete,1.6567,1.00386,0.00962
56,melete,1.6607,0.98605,0.00890
56,melete,1.6647,1.01093,0.01032
56,melete,1.6687,0.99604,0.00978
56,melete,1.6727,1.01131,0.01067
56,melete,1.6767,1.00848,0.01073
56,melete,1.6807,1.00801,0.01184
56,melete,1.6847,0.98916,0.01036
56,melete,1.6887,1.00537,0.01093
