asteroid number,asteroid name,wavelength,reflectance,uncertainty
283,emma,0.6468,0.96048,0.00550
283,emma,0.6491,0.95486,0.00540
283,emma,0.6513,0.95306,0.00530
283,emma,0.6535,0.95177,0.00515
283,emma,0.6557,0.97600,0.00520
283,emma,0.6579,0.95893,0.00499
283,emma,0.6601,0.96726,0.00491
283,emma,0.6623,0.95650,0.00476
283,emma,0.6644,0.97113,0.00471
283,emma,0.6666,0.96603,0.00462
283,emma,0.6688,0.94999,0.00448
283,emma,0.6709,0.95381,0.00444
283,emma,0.6731,0.96400,0.00452
283,emma,0.6752,0.95276,0.00425
283,emma,0.6774,0.96482,0.00425
283,emma,0.6795,0.96840,0.00417
283,emma,0.6817,0.96015,0.00405
283,emma,0.6838,0.95650,0.00400
283,emma,0.6860,0.96425,0.00401
283,emma,0.6881,0.95948,0.00390
283,emma,0.6903,0.96326,0.00392
283,emma,0.6924,0.94382,0.00379
283,emma,0.6946,0.95895,0.00377
283,emma,0.6968,0.95267,0.00373
283,emma,0.6989,0.95752,0.00357
283,emma,0.7011,0.95414,0.00349
283,emma,0.7033,0.95645,0.00343
283,emma,0.7055,0.96043,0.00337
283,emma,0.7077,0.95188,0.00334
283,emma,0.7099,0.95668,0.00327
283,emma,0.7121,0.96029,0.00323
283,emma,0.7143,0.95530,0.00327
283,emma,0.7166,0.94606,0.00315
283,emma,0.7188,0.95475,0.00315
283,emma,0.7211,0.95258,0.00313
283,emma,0.7234,0.95332,0.00306
283,emma,0.7256,0.95379,0.00304
283,emma,0.7279,0.95355,0.00304
283,emma,0.7302,0.95727,0.00299
283,emma,0.7326,0.95791,0.00293
283,emma,0.7349,0.95719,0.00290
283,emma,0.7372,0.95704,0.00285
283,emma,0.7396,0.95632,0.00283
283,emma,0.7420,0.94939,0.00276
283,emma,0.7444,0.95300,0.00271
283,emma,0.7468,0.95026,0.00271
283,emma,0.7492,0.95673,0.00269
283,emma,0.7516,0.94421,0.00265
283,emma,0.7541,0.95142,0.00263
283,emma,0.7565,0.94180,0.00266
283,emma,0.7590,0.94051,0.00270
283,emma,0.7615,0.94980,0.00273
283,emma,0.7641,0.95743,0.00273
283,emma,0.7666,0.95834,0.00273
283,emma,0.7692,0.95120,0.00267
283,emma,0.7717,0.95586,0.00261
283,emma,0.7743,0.95598,0.00258
283,emma,0.7769,0.95500,0.00251
283,emma,0.7795,0.95390,0.00247
283,emma,0.7822,0.95116,0.00245
283,emma,0.7849,0.95474,0.00246
283,emma,0.7875,0.94803,0.00244
283,emma,0.7902,0.95456,0.00244
283,emma,0.7930,0.95406,0.00243
283,emma,0.7957,0.95088,0.00243
283,emma,0.7985,0.95439,0.00241
283,emma,0.8012,0.94929,0.00241
283,emma,0.8040,0.95100,0.00239
283,emma,0.8068,0.95308,0.00238
283,emma,0.8097,0.95473,0.00238
283,emma,0.8125,0.95113,0.00238
283,emma,0.8154,0.94985,0.00237
283,emma,0.8183,0.95028,0.00238
283,emma,0.8212,0.95376,0.00238
283,emma,0.8242,0.95003,0.00237
283,emma,0.8271,0.94600,0.00235
283,emma,0.8301,0.95269,0.00236
283,emma,0.8331,0.95357,0.00234
283,emma,0.8361,0.95193,0.00233
283,emma,0.8391,0.95316,0.00232
283,emma,0.8422,0.95040,0.00231
283,emma,0.8452,0.95211,0.00230
283,emma,0.8483,0.95089,0.00230
283,emma,0.8514,0.95022,0.00229
283,emma,0.8546,0.94907,0.00229
