WAVELENGTH,REFLECTANCE,UNCERTAINTY,family
1.1619,0.93757,0.00149,elektra
1.1661,0.93353,0.00148,elektra
1.1704,0.93882,0.00149,elektra
1.1746,0.93626,0.00147,elektra
1.1789,0.94260,0.00148,elektra
1.1831,0.93986,0.00147,elektra
1.1874,0.94613,0.00148,elektra
1.1917,0.94267,0.00148,elektra
1.1959,0.94989,0.00149,elektra
1.2002,0.94533,0.00149,elektra
1.2045,0.95031,0.00150,elektra
1.2088,0.94514,0.00148,elektra
1.2131,0.95076,0.00150,elektra
1.2174,0.94914,0.00149,elektra
1.2216,0.95492,0.00150,elektra
1.2259,0.95222,0.00149,elektra
1.2302,0.95818,0.00150,elektra
1.2345,0.95268,0.00149,elektra
1.2389,0.95825,0.00150,elektra
1.2431,0.95461,0.00149,elektra
1.2475,0.96254,0.00152,elektra
1.2518,0.95586,0.00153,elektra
1.2561,0.96587,0.00163,elektra
1.2604,0.96174,0.00165,elektra
1.2647,0.96802,0.00170,elektra
1.2690,0.96180,0.00171,elektra
1.2733,0.96602,0.00172,elektra
1.2777,0.96165,0.00169,elektra
1.2820,0.97398,0.00166,elektra
1.2863,0.96627,0.00159,elektra
1.2906,0.97431,0.00158,elektra
1.2949,0.97207,0.00154,elektra
1.2992,0.97824,0.00154,elektra
1.3036,0.97037,0.00153,elektra
1.3079,0.97914,0.00155,elektra
1.3122,0.97209,0.00154,elektra
1.3165,0.97860,0.00158,elektra
1.3208,0.97504,0.00154,elektra
1.3251,0.98350,0.00155,elektra
1.3295,0.97777,0.00154,elektra
1.3338,0.98269,0.00157,elektra
1.3381,0.97677,0.00156,elektra
1.3424,0.98211,0.00162,elektra
1.3467,0.97982,0.00166,elektra
1.3510,0.99038,0.00172,elektra
1.3553,0.98555,0.00180,elektra
1.3596,0.97529,0.00189,elektra
1.3639,0.97047,0.00193,elektra
1.3682,0.97796,0.00198,elektra
1.3725,0.96510,0.00198,elektra
1.3768,0.98272,0.00197,elektra
1.3811,0.98510,0.00193,elektra
1.3854,0.99098,0.00193,elektra
1.3897,0.97254,0.00190,elektra
1.3939,0.98552,0.00191,elektra
1.3982,0.98435,0.00188,elektra
1.4025,0.99084,0.00188,elektra
1.4068,0.98414,0.00184,elektra
1.4110,0.99329,0.00184,elektra
1.4153,0.98418,0.00179,elektra
1.4196,0.99794,0.00177,elektra
1.4238,0.98812,0.00175,elektra
1.4281,0.99883,0.00175,elektra
1.4323,0.98730,0.00171,elektra
1.4366,0.99771,0.00172,elektra
1.4408,0.98681,0.00171,elektra
1.4450,0.99822,0.00172,elektra
1.4493,0.99229,0.00170,elektra
1.4535,1.00386,0.00171,elektra
1.4577,0.99049,0.00168,elektra
1.4619,1.00424,0.00171,elektra
1.4662,0.99561,0.00169,elektra
1.4704,1.00386,0.00171,elektra
1.4746,0.99102,0.00169,elektra
1.4788,1.00358,0.00171,elektra
1.4830,0.99541,0.00168,elektra
1.4871,1.00625,0.00169,elektra
1.4913,0.99635,0.00167,elektra
1.4955,1.00655,0.00171,elektra
1.4997,1.00000,0.00170,elektra
1.5039,1.01203,0.00171,elektra
1.5080,0.99922,0.00169,elektra
1.5122,1.00855,0.00172,elektra
1.5163,1.00100,0.00170,elektra
1.5205,1.00681,0.00171,elektra
1.5246,1.00092,0.00170,elektra
1.5288,1.00853,0.00172,elektra
1.5329,0.99984,0.00171,elektra
1.5370,1.00869,0.00172,elektra
1.5411,1.00029,0.00170,elektra
1.5452,1.01034,0.00171,elektra
1.5494,0.99729,0.00169,elektra
1.5534,1.01055,0.00172,elektra
1.5575,1.00462,0.00171,elektra
1.5616,1.01313,0.00174,elektra
1.5657,1.00612,0.00172,elektra
1.5698,1.01145,0.00176,elektra
1.5739,1.00691,0.00179,elektra
1.5779,1.01874,0.00183,elektra
1.5820,1.00838,0.00180,elektra
1.5860,1.01675,0.00182,elektra
1.5901,1.01037,0.00181,elektra
1.5941,1.02075,0.00182,elektra
1.5981,1.00975,0.00176,elektra
1.6022,1.01542,0.00179,elektra
1.6062,1.01049,0.00180,elektra
1.6102,1.01655,0.00183,elektra
1.6142,1.00956,0.00181,elektra
1.6182,1.02005,0.00181,elektra
1.6222,1.01297,0.00177,elektra
1.6262,1.01968,0.00178,elektra
1.6302,1.01097,0.00177,elektra
1.6341,1.01856,0.00180,elektra
1.6381,1.00985,0.00177,elektra
1.6421,1.02010,0.00181,elektra
1.6460,1.01013,0.00179,elektra
1.6500,1.01726,0.00179,elektra
1.6539,1.01181,0.00177,elektra
1.6579,1.01781,0.00179,elektra
1.6618,1.01101,0.00184,elektra
1.6657,1.02051,0.00182,elektra
1.6696,1.01287,0.00181,elektra
1.6735,1.01874,0.00184,elektra
1.6774,1.01458,0.00183,elektra
1.6813,1.02128,0.00185,elektra
1.6852,1.01226,0.00181,elektra
1.6891,1.01843,0.00184,elektra
1.6930,1.01270,0.00186,elektra
1.6968,1.02219,0.00187,elektra
1.7007,1.01209,0.00186,elektra
1.7046,1.01946,0.00188,elektra
1.7084,1.01370,0.00186,elektra
1.7123,1.02211,0.00187,elektra
1.7161,1.01670,0.00185,elektra
1.7199,1.02501,0.00186,elektra
1.7237,1.01595,0.00185,elektra
1.7275,1.02167,0.00186,elektra
1.7314,1.01406,0.00187,elektra
1.7352,1.02276,0.00190,elektra
