asteroid number,asteroid name,wavelength,reflectance,uncertainty
192,nausikaa,0.9868,0.76075,0.00169
192,nausikaa,0.9906,0.76375,0.00169
192,nausikaa,0.9944,0.77288,0.00169
192,nausikaa,0.9982,0.77496,0.00169
192,nausikaa,1.0021,0.77495,0.00168
192,nausikaa,1.0059,0.77380,0.00168
192,nausikaa,1.0098,0.77265,0.00167
192,nausikaa,1.0137,0.77835,0.00168
192,nausikaa,1.0176,0.76653,0.00164
192,nausikaa,1.0215,0.77780,0.00166
192,nausikaa,1.0255,0.78256,0.00166
192,nausikaa,1.0294,0.78104,0.00166
192,nausikaa,1.0334,0.77213,0.00164
192,nausikaa,1.0373,0.77611,0.00165
192,nausikaa,1.0413,0.77937,0.00164
192,nausikaa,1.0453,0.78752,0.00166
192,nausikaa,1.0493,0.78391,0.00163
192,nausikaa,1.0533,0.79036,0.00165
192,nausikaa,1.0573,0.77040,0.00159
192,nausikaa,1.0614,0.79057,0.00164
192,nausikaa,1.0654,0.79032,0.00162
192,nausikaa,1.0695,0.79626,0.00164
192,nausikaa,1.0735,0.79466,0.00164
192,nausikaa,1.0776,0.79301,0.00163
192,nausikaa,1.0817,0.79699,0.00163
192,nausikaa,1.0858,0.80559,0.00164
192,nausikaa,1.0899,0.79740,0.00161
192,nausikaa,1.0940,0.80282,0.00163
192,nausikaa,1.0981,0.80984,0.00164
192,nausikaa,1.1023,0.82466,0.00167
192,nausikaa,1.1064,0.81984,0.00165
192,nausikaa,1.1105,0.82225,0.00167
192,nausikaa,1.1147,0.82277,0.00166
192,nausikaa,1.1189,0.82183,0.00169
192,nausikaa,1.1230,0.82042,0.00169
192,nausikaa,1.1272,0.82961,0.00173
192,nausikaa,1.1314,0.82709,0.00172
192,nausikaa,1.1356,0.83938,0.00175
192,nausikaa,1.1398,0.84141,0.00173
192,nausikaa,1.1440,0.84903,0.00175
192,nausikaa,1.1482,0.83674,0.00170
192,nausikaa,1.1524,0.84669,0.00172
192,nausikaa,1.1567,0.84333,0.00168
192,nausikaa,1.1609,0.85243,0.00169
192,nausikaa,1.1651,0.84727,0.00166
192,nausikaa,1.1694,0.85588,0.00167
192,nausikaa,1.1736,0.85454,0.00165
192,nausikaa,1.1779,0.87140,0.00168
192,nausikaa,1.1821,0.86383,0.00167
192,nausikaa,1.1864,0.86580,0.00167
192,nausikaa,1.1907,0.86193,0.00166
192,nausikaa,1.1949,0.87692,0.00169
192,nausikaa,1.1992,0.87173,0.00168
192,nausikaa,1.2035,0.88040,0.00169
192,nausikaa,1.2078,0.87517,0.00168
192,nausikaa,1.2121,0.87511,0.00167
192,nausikaa,1.2163,0.87467,0.00167
192,nausikaa,1.2206,0.87997,0.00168
192,nausikaa,1.2249,0.87285,0.00166
192,nausikaa,1.2292,0.88392,0.00168
192,nausikaa,1.2335,0.88777,0.00168
192,nausikaa,1.2378,0.89619,0.00170
192,nausikaa,1.2421,0.88762,0.00168
192,nausikaa,1.2465,0.91087,0.00173
192,nausikaa,1.2508,0.90689,0.00172
192,nausikaa,1.2551,0.91402,0.00174
192,nausikaa,1.2594,0.89850,0.00172
192,nausikaa,1.2637,0.89604,0.00172
192,nausikaa,1.2680,0.89095,0.00171
192,nausikaa,1.2723,0.90406,0.00174
192,nausikaa,1.2766,0.90257,0.00174
192,nausikaa,1.2810,0.91211,0.00176
192,nausikaa,1.2853,0.90515,0.00173
192,nausikaa,1.2896,0.91618,0.00176
192,nausikaa,1.2939,0.91707,0.00174
192,nausikaa,1.2982,0.92827,0.00177
192,nausikaa,1.3026,0.90895,0.00172
192,nausikaa,1.3069,0.91853,0.00174
192,nausikaa,1.3112,0.91059,0.00173
192,nausikaa,1.3155,0.92646,0.00177
192,nausikaa,1.3198,0.92766,0.00177
192,nausikaa,1.3241,0.93720,0.00180
192,nausikaa,1.3284,0.92177,0.00177
192,nausikaa,1.3328,0.93561,0.00181
192,nausikaa,1.3371,0.94337,0.00183
192,nausikaa,1.3414,0.96743,0.00190
192,nausikaa,1.3457,0.96501,0.00193
192,nausikaa,1.3500,0.97361,0.00203
192,nausikaa,1.3543,0.96540,0.00213
192,nausikaa,1.3586,0.97725,0.00237
192,nausikaa,1.3629,0.96368,0.00255
192,nausikaa,1.3672,0.98198,0.00293
192,nausikaa,1.3715,0.99847,0.00291
192,nausikaa,1.3758,0.99366,0.00291
192,nausikaa,1.3801,0.95450,0.00274
192,nausikaa,1.3844,0.97056,0.00271
192,nausikaa,1.3886,0.98064,0.00270
192,nausikaa,1.3929,1.00260,0.00270
192,nausikaa,1.3972,0.97292,0.00258
192,nausikaa,1.4015,0.97379,0.00253
192,nausikaa,1.4058,0.96538,0.00246
192,nausikaa,1.4100,0.98076,0.00244
192,nausikaa,1.4143,0.96890,0.00232
192,nausikaa,1.4185,0.98220,0.00230
192,nausikaa,1.4228,0.98450,0.00224
192,nausikaa,1.4271,1.00189,0.00224
192,nausikaa,1.4313,0.96894,0.00215
192,nausikaa,1.4356,0.98820,0.00219
192,nausikaa,1.4398,0.97736,0.00221
192,nausikaa,1.4440,0.98932,0.00214
192,nausikaa,1.4483,0.97456,0.00208
192,nausikaa,1.4525,1.00095,0.00211
192,nausikaa,1.4567,1.00645,0.00208
192,nausikaa,1.4609,1.01756,0.00210
192,nausikaa,1.4652,1.00195,0.00205
192,nausikaa,1.4694,1.00853,0.00209
192,nausikaa,1.4736,0.99629,0.00206
192,nausikaa,1.4778,1.01091,0.00209
192,nausikaa,1.4820,0.99573,0.00206
192,nausikaa,1.4862,1.00989,0.00208
192,nausikaa,1.4904,0.98934,0.00202
192,nausikaa,1.4945,1.01654,0.00207
192,nausikaa,1.4987,1.00000,0.00201
192,nausikaa,1.5029,1.00160,0.00201
192,nausikaa,1.5070,0.99466,0.00199
192,nausikaa,1.5112,1.01044,0.00203
192,nausikaa,1.5154,1.00279,0.00201
192,nausikaa,1.5195,1.02470,0.00206
192,nausikaa,1.5236,0.99713,0.00200
192,nausikaa,1.5278,1.02089,0.00204
192,nausikaa,1.5319,1.02109,0.00205
192,nausikaa,1.5360,1.03740,0.00208
192,nausikaa,1.5402,1.02331,0.00207
192,nausikaa,1.5443,1.03346,0.00210
192,nausikaa,1.5484,1.02733,0.00206
192,nausikaa,1.5525,1.03862,0.00211
192,nausikaa,1.5566,1.01805,0.00207
192,nausikaa,1.5607,1.03271,0.00209
192,nausikaa,1.5648,1.01817,0.00208
192,nausikaa,1.5688,1.02490,0.00211
192,nausikaa,1.5729,1.01877,0.00210
192,nausikaa,1.5770,1.02190,0.00213
192,nausikaa,1.5810,1.01410,0.00211
192,nausikaa,1.5851,1.02267,0.00214
192,nausikaa,1.5891,1.00024,0.00208
192,nausikaa,1.5932,1.02520,0.00215
192,nausikaa,1.5972,1.02581,0.00213
192,nausikaa,1.6012,1.02275,0.00215
192,nausikaa,1.6052,1.01302,0.00214
