WAVELENGTH,REFLECTANCE,UNCERTAINTY,family
0.7370,0.95994,0.01126,melete
0.7391,0.96946,0.01020,melete
0.7412,0.95579,0.01035,melete
0.7434,0.97200,0.01000,melete
0.7456,0.95909,0.00980,melete
0.7479,0.97172,0.00946,melete
0.7501,0.97389,0.01200,melete
0.7524,0.95730,0.00952,melete
0.7547,0.98115,0.00938,melete
0.7571,0.97059,0.01168,melete
0.7643,0.98058,0.00912,melete
0.7667,0.97069,0.00979,melete
0.7692,0.95155,0.00891,melete
0.7717,0.95853,0.00980,melete
0.7743,0.97163,0.01131,melete
0.7768,0.97087,0.01093,melete
0.7794,0.94552,0.00960,melete
0.7820,0.97851,0.01133,melete
0.7846,0.95136,0.01115,melete
0.7873,0.95966,0.00889,melete
0.7900,0.95438,0.00886,melete
0.7927,0.97332,0.00878,melete
0.7954,0.97031,0.00945,melete
0.7982,0.97342,0.00915,melete
0.8010,0.97455,0.00994,melete
0.8038,0.98266,0.00945,melete
0.8066,0.96145,0.01038,melete
0.8095,0.98803,0.00987,melete
0.8123,0.96805,0.00818,melete
0.8152,0.97832,0.00886,melete
0.8182,0.96296,0.01053,melete
0.8211,0.97417,0.00860,melete
0.8241,0.96220,0.00878,melete
0.8271,0.98039,0.00900,melete
0.8301,0.96409,0.00861,melete
0.8331,0.98171,0.00831,melete
0.8362,0.96126,0.01009,melete
0.8392,0.97380,0.00908,melete
0.8423,0.96456,0.00885,melete
0.8454,0.97229,0.00842,melete
0.8486,0.96145,0.00836,melete
0.8517,0.96908,0.00788,melete
0.8549,0.96117,0.00981,melete
0.8581,0.96022,0.00824,melete
0.8613,0.94080,0.00825,melete
0.8645,0.95824,0.00787,melete
0.8678,0.94825,0.00786,melete
0.8711,0.95155,0.00854,melete
0.8743,0.92619,0.00768,melete
0.8777,0.94750,0.00864,melete
0.8810,0.92968,0.00813,melete
0.8843,0.95428,0.00844,melete
0.8877,0.94316,0.00778,melete
0.8911,0.94655,0.00790,melete
0.8945,0.92949,0.00802,melete
0.8979,0.94146,0.00753,melete
0.9013,0.92723,0.00865,melete
0.9048,0.95014,0.00745,melete
0.9082,0.95268,0.00793,melete
0.9117,0.96060,0.00798,melete
0.9152,0.94806,0.00796,melete
0.9187,0.95824,0.00846,melete
0.9222,0.95542,0.00757,melete
0.9258,0.95919,0.00787,melete
0.9294,0.94439,0.00844,melete
0.9329,0.96757,0.00881,melete
0.9365,0.93883,0.00742,melete
0.9401,0.94476,0.00794,melete
0.9437,0.93025,0.00791,melete
0.9474,0.94684,0.00785,melete
0.9510,0.91752,0.00704,melete
0.9547,0.94137,0.00753,melete
0.9584,0.92553,0.00794,melete
0.9621,0.96286,0.00757,melete
0.9658,0.93883,0.00738,melete
0.9695,0.96512,0.00727,melete
0.9732,0.92308,0.00949,melete
0.9770,0.95542,0.00724,melete
0.9807,0.94985,0.00802,melete
0.9845,0.95136,0.00711,melete
0.9883,0.93223,0.00717,melete
0.9921,0.94882,0.00706,melete
0.9959,0.92591,0.00725,melete
0.9997,0.95014,0.00782,melete
1.0035,0.91997,0.00684,melete
1.0074,0.94382,0.00687,melete
1.0112,0.92751,0.00958,melete
1.0151,0.93553,0.00694,melete
1.0190,0.92893,0.00683,melete
